id_movimento,vlr_transacao_movimento,descricao_transacao_movimento,data_transacao_movimento,id_cartao
50107,28.3,Loja de Roupas - Vestuário,2021-05-16,37
50108,497.56,Eletrônicos - Acessórios,2021-05-16,39
50109,495.39,Livraria - Compra de livros,2021-05-16,198
50110,292.91,Livraria - Compra de livros,2021-05-16,246
50111,187.52,Academia - Mensalidade,2021-05-16,199
50112,413.88,E-commerce - Compra online,2021-05-16,29
50113,384.06,Restaurante - Refeição,2021-05-16,128
50114,12.73,Cinema - Ingresso,2021-05-16,47
50115,420.48,Loja de Roupas - Vestuário,2021-05-16,161
50116,422.08,Restaurante - Refeição,2021-05-16,146
50117,476.05,Cinema - Ingresso,2021-05-16,32
50118,245.52,Supermercado - Compra de alimentos,2021-05-16,164
50119,316.89,Academia - Mensalidade,2021-05-16,208
50120,247.57,E-commerce - Compra online,2021-05-16,77
50121,278.11,Cinema - Ingresso,2021-05-16,128
50122,36.7,Livraria - Compra de livros,2021-05-16,170
50123,457.76,Loja de Roupas - Vestuário,2021-05-16,1
50124,494.62,Livraria - Compra de livros,2021-05-16,198
50125,130.87,Eletrônicos - Acessórios,2021-05-16,192
50126,419.59,Eletrônicos - Acessórios,2021-05-16,245
50127,163.88,Loja de Roupas - Vestuário,2021-05-16,195
50128,181.95,Supermercado - Compra de alimentos,2021-05-16,246
50129,387.35,Farmácia - Medicamentos,2021-05-16,164
50130,69.65,Posto de Gasolina - Abastecimento,2021-05-16,33
50131,128.76,E-commerce - Compra online,2021-05-16,159
50132,202.39,Loja de Roupas - Vestuário,2021-05-16,16
50133,465.85,Farmácia - Medicamentos,2021-05-16,117
50134,438.88,Farmácia - Medicamentos,2021-05-16,23
50135,413.25,Loja de Roupas - Vestuário,2021-05-16,147
50136,331.66,Academia - Mensalidade,2021-05-16,62
50137,114.62,Restaurante - Refeição,2021-05-16,81
50138,444.78,Cinema - Ingresso,2021-05-16,173
50139,46.73,Loja de Roupas - Vestuário,2021-05-16,201
50140,72.68,Cinema - Ingresso,2021-05-16,36
50141,153.79,Livraria - Compra de livros,2021-05-16,236
50142,418.29,Supermercado - Compra de alimentos,2021-05-16,15
50143,395.96,Supermercado - Compra de alimentos,2021-05-16,112
50144,57.1,Posto de Gasolina - Abastecimento,2021-05-16,224
50145,45.48,Loja de Roupas - Vestuário,2021-05-16,35
50146,397.12,Posto de Gasolina - Abastecimento,2021-05-16,159
50147,456.88,Eletrônicos - Acessórios,2021-05-16,32
50148,150.85,Farmácia - Medicamentos,2021-05-16,174
50149,468.39,Supermercado - Compra de alimentos,2021-05-16,168
50150,264.42,Livraria - Compra de livros,2021-05-16,249
50151,373.94,Restaurante - Refeição,2021-05-16,241
50152,112.59,Cinema - Ingresso,2021-05-16,191
50153,50.08,Eletrônicos - Acessórios,2021-05-16,47
50154,310.36,Livraria - Compra de livros,2021-05-16,103
50155,49.98,Academia - Mensalidade,2021-05-16,159
50156,384.33,Supermercado - Compra de alimentos,2021-05-16,80
50157,477.94,Cinema - Ingresso,2021-05-16,88
50158,190.05,Farmácia - Medicamentos,2021-05-16,216
50159,345.05,E-commerce - Compra online,2021-05-16,161
50160,260.98,Eletrônicos - Acessórios,2021-05-16,22
50161,302.19,Cinema - Ingresso,2021-05-16,237
50162,481.91,Supermercado - Compra de alimentos,2021-05-16,163
50163,139.79,Loja de Roupas - Vestuário,2021-05-16,7
50164,339.93,Eletrônicos - Acessórios,2021-05-16,222
50165,59.52,E-commerce - Compra online,2021-05-16,129
50166,166.78,Eletrônicos - Acessórios,2021-05-16,190
50167,438.75,Cinema - Ingresso,2021-05-16,225
50168,329.66,Posto de Gasolina - Abastecimento,2021-05-16,217
50169,70.65,Supermercado - Compra de alimentos,2021-05-16,195
50170,69.78,Cinema - Ingresso,2021-05-16,27
50171,44.58,Livraria - Compra de livros,2021-05-16,137
50172,250.97,Supermercado - Compra de alimentos,2021-05-16,27
50173,134.18,Livraria - Compra de livros,2021-05-16,82
50174,195.11,Posto de Gasolina - Abastecimento,2021-05-16,225
50175,169.38,Supermercado - Compra de alimentos,2021-05-16,77
50176,249.87,Posto de Gasolina - Abastecimento,2021-05-16,189
50177,263.0,Livraria - Compra de livros,2021-05-16,116
50178,396.53,Livraria - Compra de livros,2021-05-16,93
50179,189.11,Posto de Gasolina - Abastecimento,2021-05-16,6
50180,413.21,E-commerce - Compra online,2021-05-16,31
50181,229.11,Academia - Mensalidade,2021-05-16,185
50182,142.37,Supermercado - Compra de alimentos,2021-05-16,39
50183,172.5,Restaurante - Refeição,2021-05-16,191
50184,9.24,Livraria - Compra de livros,2021-05-16,111
50185,410.59,Livraria - Compra de livros,2021-05-16,75
50186,31.11,Cinema - Ingresso,2021-05-16,134
50187,21.26,Farmácia - Medicamentos,2021-05-16,164
50188,41.91,Supermercado - Compra de alimentos,2021-05-16,109
50189,23.65,Farmácia - Medicamentos,2021-05-16,129
50190,134.25,Supermercado - Compra de alimentos,2021-05-16,188
50191,252.46,E-commerce - Compra online,2021-05-16,196
50192,278.26,E-commerce - Compra online,2021-05-16,167
50193,315.79,E-commerce - Compra online,2021-05-16,125
50194,425.82,Cinema - Ingresso,2021-05-16,151
50195,481.73,Supermercado - Compra de alimentos,2021-05-16,207
50196,472.44,Farmácia - Medicamentos,2021-05-16,227
50197,13.8,Academia - Mensalidade,2021-05-16,90
50198,132.04,Livraria - Compra de livros,2021-05-16,163
50199,25.12,Restaurante - Refeição,2021-05-16,162
50200,451.02,Farmácia - Medicamentos,2021-05-16,194
50201,465.22,E-commerce - Compra online,2021-05-17,94
50202,57.33,Posto de Gasolina - Abastecimento,2021-05-17,84
50203,261.98,Loja de Roupas - Vestuário,2021-05-17,192
50204,146.55,Livraria - Compra de livros,2021-05-17,92
50205,244.75,Cinema - Ingresso,2021-05-17,145
50206,188.61,Cinema - Ingresso,2021-05-17,208
50207,453.51,E-commerce - Compra online,2021-05-17,22
50208,167.14,Eletrônicos - Acessórios,2021-05-17,3
50209,14.81,Academia - Mensalidade,2021-05-17,162
50210,82.24,Posto de Gasolina - Abastecimento,2021-05-17,239
50211,18.2,Farmácia - Medicamentos,2021-05-17,5
50212,465.24,Restaurante - Refeição,2021-05-17,208
50213,405.32,E-commerce - Compra online,2021-05-17,156
50214,168.66,Supermercado - Compra de alimentos,2021-05-17,27
50215,194.84,Livraria - Compra de livros,2021-05-17,127
50216,386.95,Cinema - Ingresso,2021-05-17,100
50217,417.41,Restaurante - Refeição,2021-05-17,202
50218,402.44,Posto de Gasolina - Abastecimento,2021-05-17,191
50219,155.29,Loja de Roupas - Vestuário,2021-05-17,115
50220,239.37,Academia - Mensalidade,2021-05-17,71
50221,142.65,Posto de Gasolina - Abastecimento,2021-05-17,133
50222,297.32,Farmácia - Medicamentos,2021-05-17,79
50223,68.22,Supermercado - Compra de alimentos,2021-05-17,79
50224,413.91,E-commerce - Compra online,2021-05-17,208
50225,451.74,Cinema - Ingresso,2021-05-17,24
50226,136.0,Loja de Roupas - Vestuário,2021-05-17,164
50227,420.21,Restaurante - Refeição,2021-05-17,132
50228,104.89,Farmácia - Medicamentos,2021-05-17,39
50229,346.28,Cinema - Ingresso,2021-05-17,202
50230,369.1,Farmácia - Medicamentos,2021-05-17,134
50231,446.82,Posto de Gasolina - Abastecimento,2021-05-17,235
50232,363.46,Supermercado - Compra de alimentos,2021-05-17,91
50233,37.39,Loja de Roupas - Vestuário,2021-05-17,202
50234,292.69,Loja de Roupas - Vestuário,2021-05-17,157
50235,381.87,Eletrônicos - Acessórios,2021-05-17,140
50236,219.62,E-commerce - Compra online,2021-05-17,177
50237,423.75,Academia - Mensalidade,2021-05-17,133
50238,348.41,Restaurante - Refeição,2021-05-17,9
50239,151.73,E-commerce - Compra online,2021-05-17,142
50240,388.2,Cinema - Ingresso,2021-05-17,127
50241,306.07,Cinema - Ingresso,2021-05-17,16
50242,255.53,Posto de Gasolina - Abastecimento,2021-05-17,122
50243,220.14,Farmácia - Medicamentos,2021-05-17,235
50244,332.7,Restaurante - Refeição,2021-05-17,209
50245,399.6,Livraria - Compra de livros,2021-05-17,168
50246,412.61,Supermercado - Compra de alimentos,2021-05-17,133
50247,361.05,Cinema - Ingresso,2021-05-17,158
50248,424.14,Restaurante - Refeição,2021-05-17,93
50249,379.71,E-commerce - Compra online,2021-05-17,114
50250,360.05,Supermercado - Compra de alimentos,2021-05-17,233
50251,17.63,Livraria - Compra de livros,2021-05-17,21
50252,70.82,Livraria - Compra de livros,2021-05-17,212
50253,391.54,Supermercado - Compra de alimentos,2021-05-17,219
50254,341.3,E-commerce - Compra online,2021-05-17,79
50255,64.04,Eletrônicos - Acessórios,2021-05-17,192
50256,490.64,Posto de Gasolina - Abastecimento,2021-05-17,154
50257,275.69,Livraria - Compra de livros,2021-05-17,10
50258,77.7,Academia - Mensalidade,2021-05-17,204
50259,176.29,Academia - Mensalidade,2021-05-17,24
50260,208.18,Posto de Gasolina - Abastecimento,2021-05-17,229
50261,413.07,Loja de Roupas - Vestuário,2021-05-17,91
50262,495.61,Supermercado - Compra de alimentos,2021-05-17,14
50263,492.35,Cinema - Ingresso,2021-05-17,218
50264,32.71,Academia - Mensalidade,2021-05-17,26
50265,220.78,Academia - Mensalidade,2021-05-17,9
50266,47.34,Academia - Mensalidade,2021-05-17,59
50267,333.12,Cinema - Ingresso,2021-05-17,92
50268,209.99,Supermercado - Compra de alimentos,2021-05-17,233
50269,140.61,Farmácia - Medicamentos,2021-05-17,15
50270,466.58,E-commerce - Compra online,2021-05-17,228
50271,245.61,Loja de Roupas - Vestuário,2021-05-17,139
50272,80.35,E-commerce - Compra online,2021-05-17,163
50273,291.41,Farmácia - Medicamentos,2021-05-17,161
50274,357.51,Loja de Roupas - Vestuário,2021-05-17,139
50275,18.08,Posto de Gasolina - Abastecimento,2021-05-17,211
50276,234.04,E-commerce - Compra online,2021-05-17,91
50277,92.38,E-commerce - Compra online,2021-05-17,208
50278,159.45,Loja de Roupas - Vestuário,2021-05-17,3
50279,73.66,Restaurante - Refeição,2021-05-17,246
50280,110.14,Restaurante - Refeição,2021-05-17,203
50281,305.98,Eletrônicos - Acessórios,2021-05-17,147
50282,138.87,Cinema - Ingresso,2021-05-17,153
50283,27.24,Loja de Roupas - Vestuário,2021-05-17,104
50284,25.67,Restaurante - Refeição,2021-05-17,139
50285,180.5,Posto de Gasolina - Abastecimento,2021-05-17,55
50286,271.3,Academia - Mensalidade,2021-05-17,66
50287,33.92,Posto de Gasolina - Abastecimento,2021-05-17,111
50288,200.84,Cinema - Ingresso,2021-05-17,26
50289,124.46,Supermercado - Compra de alimentos,2021-05-17,110
50290,126.82,Posto de Gasolina - Abastecimento,2021-05-17,216
50291,380.32,E-commerce - Compra online,2021-05-17,49
50292,6.67,Supermercado - Compra de alimentos,2021-05-17,73
50293,252.94,Livraria - Compra de livros,2021-05-17,87
50294,254.57,Restaurante - Refeição,2021-05-17,221
50295,73.14,Cinema - Ingresso,2021-05-17,48
50296,182.74,Livraria - Compra de livros,2021-05-17,179
50297,121.97,Farmácia - Medicamentos,2021-05-17,195
50298,240.5,Posto de Gasolina - Abastecimento,2021-05-17,53
50299,256.93,Loja de Roupas - Vestuário,2021-05-17,34
50300,374.47,E-commerce - Compra online,2021-05-17,87
50301,60.61,Eletrônicos - Acessórios,2021-05-18,20
50302,281.14,Loja de Roupas - Vestuário,2021-05-18,49
50303,499.91,Livraria - Compra de livros,2021-05-18,38
50304,34.68,Cinema - Ingresso,2021-05-18,31
50305,427.45,Restaurante - Refeição,2021-05-18,44
50306,14.12,Loja de Roupas - Vestuário,2021-05-18,124
50307,11.6,Farmácia - Medicamentos,2021-05-18,197
50308,312.58,Cinema - Ingresso,2021-05-18,236
50309,366.09,Restaurante - Refeição,2021-05-18,177
50310,50.91,Academia - Mensalidade,2021-05-18,8
50311,344.69,Academia - Mensalidade,2021-05-18,2
50312,457.3,Livraria - Compra de livros,2021-05-18,94
50313,86.4,Loja de Roupas - Vestuário,2021-05-18,48
50314,367.75,Farmácia - Medicamentos,2021-05-18,156
50315,380.53,Posto de Gasolina - Abastecimento,2021-05-18,116
50316,425.45,Posto de Gasolina - Abastecimento,2021-05-18,181
50317,333.15,Eletrônicos - Acessórios,2021-05-18,53
50318,334.59,Loja de Roupas - Vestuário,2021-05-18,91
50319,412.93,Eletrônicos - Acessórios,2021-05-18,72
50320,326.16,Posto de Gasolina - Abastecimento,2021-05-18,119
50321,140.66,Loja de Roupas - Vestuário,2021-05-18,222
50322,476.71,E-commerce - Compra online,2021-05-18,44
50323,130.81,Academia - Mensalidade,2021-05-18,116
50324,451.78,Academia - Mensalidade,2021-05-18,70
50325,285.59,Eletrônicos - Acessórios,2021-05-18,163
50326,262.76,Cinema - Ingresso,2021-05-18,124
50327,86.4,Posto de Gasolina - Abastecimento,2021-05-18,164
50328,390.21,E-commerce - Compra online,2021-05-18,30
50329,226.58,Posto de Gasolina - Abastecimento,2021-05-18,209
50330,467.81,Academia - Mensalidade,2021-05-18,193
50331,263.09,Eletrônicos - Acessórios,2021-05-18,91
50332,367.85,Eletrônicos - Acessórios,2021-05-18,22
50333,264.01,Cinema - Ingresso,2021-05-18,108
50334,397.33,Posto de Gasolina - Abastecimento,2021-05-18,235
50335,161.8,Eletrônicos - Acessórios,2021-05-18,108
50336,10.32,Restaurante - Refeição,2021-05-18,26
50337,103.7,E-commerce - Compra online,2021-05-18,224
50338,91.68,Academia - Mensalidade,2021-05-18,156
50339,110.83,Livraria - Compra de livros,2021-05-18,74
50340,382.48,Farmácia - Medicamentos,2021-05-18,142
50341,148.82,Farmácia - Medicamentos,2021-05-18,79
50342,117.94,Livraria - Compra de livros,2021-05-18,99
50343,112.04,E-commerce - Compra online,2021-05-18,115
50344,150.38,Posto de Gasolina - Abastecimento,2021-05-18,77
50345,190.77,E-commerce - Compra online,2021-05-18,108
50346,99.52,Supermercado - Compra de alimentos,2021-05-18,65
50347,34.41,Cinema - Ingresso,2021-05-18,244
50348,129.4,Academia - Mensalidade,2021-05-18,171
50349,16.5,Farmácia - Medicamentos,2021-05-18,130
50350,445.06,Academia - Mensalidade,2021-05-18,41
50351,321.71,Farmácia - Medicamentos,2021-05-18,21
50352,129.9,Livraria - Compra de livros,2021-05-18,204
50353,484.14,Farmácia - Medicamentos,2021-05-18,156
50354,186.2,Livraria - Compra de livros,2021-05-18,173
50355,423.83,Cinema - Ingresso,2021-05-18,104
50356,286.16,Restaurante - Refeição,2021-05-18,211
50357,111.54,Livraria - Compra de livros,2021-05-18,19
50358,252.81,Eletrônicos - Acessórios,2021-05-18,202
50359,113.09,Livraria - Compra de livros,2021-05-18,227
50360,55.96,Restaurante - Refeição,2021-05-18,150
50361,479.22,Loja de Roupas - Vestuário,2021-05-18,30
50362,109.18,Supermercado - Compra de alimentos,2021-05-18,76
50363,394.47,Restaurante - Refeição,2021-05-18,47
50364,482.64,Restaurante - Refeição,2021-05-18,5
50365,180.24,Farmácia - Medicamentos,2021-05-18,85
50366,194.03,Posto de Gasolina - Abastecimento,2021-05-18,221
50367,200.54,Cinema - Ingresso,2021-05-18,166
50368,28.38,Livraria - Compra de livros,2021-05-18,3
50369,131.83,Posto de Gasolina - Abastecimento,2021-05-18,227
50370,232.42,Livraria - Compra de livros,2021-05-18,203
50371,71.21,Livraria - Compra de livros,2021-05-18,184
50372,438.62,Academia - Mensalidade,2021-05-18,61
50373,412.8,Farmácia - Medicamentos,2021-05-18,210
50374,414.78,Eletrônicos - Acessórios,2021-05-18,162
50375,339.54,Loja de Roupas - Vestuário,2021-05-18,166
50376,270.82,Livraria - Compra de livros,2021-05-18,6
50377,228.71,Posto de Gasolina - Abastecimento,2021-05-18,183
50378,79.78,Restaurante - Refeição,2021-05-18,6
50379,152.22,Eletrônicos - Acessórios,2021-05-18,96
50380,482.24,Eletrônicos - Acessórios,2021-05-18,185
50381,462.54,Posto de Gasolina - Abastecimento,2021-05-18,185
50382,269.26,Restaurante - Refeição,2021-05-18,165
50383,297.23,Loja de Roupas - Vestuário,2021-05-18,217
50384,208.21,Farmácia - Medicamentos,2021-05-18,118
50385,331.12,Supermercado - Compra de alimentos,2021-05-18,41
50386,358.26,Eletrônicos - Acessórios,2021-05-18,8
50387,168.77,Loja de Roupas - Vestuário,2021-05-18,110
50388,274.11,E-commerce - Compra online,2021-05-18,197
50389,483.33,Loja de Roupas - Vestuário,2021-05-18,3
50390,285.42,Supermercado - Compra de alimentos,2021-05-18,238
50391,46.82,E-commerce - Compra online,2021-05-18,20
50392,67.69,Eletrônicos - Acessórios,2021-05-18,90
50393,451.17,Farmácia - Medicamentos,2021-05-18,41
50394,185.42,Restaurante - Refeição,2021-05-18,96
50395,89.62,Livraria - Compra de livros,2021-05-18,15
50396,18.95,Livraria - Compra de livros,2021-05-18,126
50397,406.25,Farmácia - Medicamentos,2021-05-18,181
50398,49.41,Academia - Mensalidade,2021-05-18,62
50399,272.8,Livraria - Compra de livros,2021-05-18,43
50400,244.38,Cinema - Ingresso,2021-05-18,194
50401,53.93,Academia - Mensalidade,2021-05-19,103
50402,163.9,Cinema - Ingresso,2021-05-19,197
50403,488.84,Cinema - Ingresso,2021-05-19,81
50404,30.79,Eletrônicos - Acessórios,2021-05-19,53
50405,211.73,Cinema - Ingresso,2021-05-19,22
50406,351.14,Posto de Gasolina - Abastecimento,2021-05-19,52
50407,473.85,Posto de Gasolina - Abastecimento,2021-05-19,26
50408,133.78,Cinema - Ingresso,2021-05-19,149
50409,485.49,Academia - Mensalidade,2021-05-19,140
50410,378.67,Academia - Mensalidade,2021-05-19,75
50411,418.02,E-commerce - Compra online,2021-05-19,241
50412,312.78,Restaurante - Refeição,2021-05-19,66
50413,52.45,Supermercado - Compra de alimentos,2021-05-19,167
50414,344.75,Supermercado - Compra de alimentos,2021-05-19,55
50415,238.67,Loja de Roupas - Vestuário,2021-05-19,180
50416,52.08,Restaurante - Refeição,2021-05-19,142
50417,256.11,Livraria - Compra de livros,2021-05-19,170
50418,463.54,Livraria - Compra de livros,2021-05-19,6
50419,70.49,Loja de Roupas - Vestuário,2021-05-19,58
50420,175.2,E-commerce - Compra online,2021-05-19,52
50421,87.65,Eletrônicos - Acessórios,2021-05-19,194
50422,195.33,Eletrônicos - Acessórios,2021-05-19,90
50423,115.97,Cinema - Ingresso,2021-05-19,206
50424,450.95,Academia - Mensalidade,2021-05-19,207
50425,342.88,Loja de Roupas - Vestuário,2021-05-19,29
50426,66.03,Restaurante - Refeição,2021-05-19,173
50427,157.92,Posto de Gasolina - Abastecimento,2021-05-19,183
50428,68.63,Eletrônicos - Acessórios,2021-05-19,33
50429,280.29,Cinema - Ingresso,2021-05-19,154
50430,468.39,Restaurante - Refeição,2021-05-19,201
50431,430.07,Cinema - Ingresso,2021-05-19,20
50432,165.68,Restaurante - Refeição,2021-05-19,120
50433,28.6,Posto de Gasolina - Abastecimento,2021-05-19,212
50434,245.61,Posto de Gasolina - Abastecimento,2021-05-19,194
50435,332.14,Loja de Roupas - Vestuário,2021-05-19,92
50436,327.45,Cinema - Ingresso,2021-05-19,241
50437,80.3,Loja de Roupas - Vestuário,2021-05-19,86
50438,314.05,Livraria - Compra de livros,2021-05-19,104
50439,186.17,Restaurante - Refeição,2021-05-19,70
50440,45.33,Farmácia - Medicamentos,2021-05-19,208
50441,339.93,Academia - Mensalidade,2021-05-19,227
50442,496.11,Supermercado - Compra de alimentos,2021-05-19,218
50443,359.1,E-commerce - Compra online,2021-05-19,3
50444,466.33,Loja de Roupas - Vestuário,2021-05-19,20
50445,254.68,Cinema - Ingresso,2021-05-19,39
50446,36.89,Livraria - Compra de livros,2021-05-19,138
50447,235.43,Loja de Roupas - Vestuário,2021-05-19,192
50448,493.07,Loja de Roupas - Vestuário,2021-05-19,118
50449,69.84,Eletrônicos - Acessórios,2021-05-19,191
50450,297.8,Cinema - Ingresso,2021-05-19,118
50451,87.41,Eletrônicos - Acessórios,2021-05-19,23
50452,307.59,E-commerce - Compra online,2021-05-19,178
50453,384.01,Posto de Gasolina - Abastecimento,2021-05-19,17
50454,394.73,Restaurante - Refeição,2021-05-19,107
50455,206.45,Livraria - Compra de livros,2021-05-19,115
50456,99.55,E-commerce - Compra online,2021-05-19,119
50457,400.77,Posto de Gasolina - Abastecimento,2021-05-19,67
50458,499.97,Supermercado - Compra de alimentos,2021-05-19,250
50459,40.32,Restaurante - Refeição,2021-05-19,76
50460,106.28,Livraria - Compra de livros,2021-05-19,197
50461,269.84,E-commerce - Compra online,2021-05-19,248
50462,467.01,E-commerce - Compra online,2021-05-19,102
50463,261.73,Farmácia - Medicamentos,2021-05-19,85
50464,80.44,Supermercado - Compra de alimentos,2021-05-19,109
50465,139.65,Eletrônicos - Acessórios,2021-05-19,158
50466,433.92,Supermercado - Compra de alimentos,2021-05-19,103
50467,299.88,Posto de Gasolina - Abastecimento,2021-05-19,88
50468,453.21,E-commerce - Compra online,2021-05-19,213
50469,133.68,Academia - Mensalidade,2021-05-19,149
50470,300.89,Restaurante - Refeição,2021-05-19,97
50471,359.76,Supermercado - Compra de alimentos,2021-05-19,225
50472,298.71,Posto de Gasolina - Abastecimento,2021-05-19,193
50473,363.28,Academia - Mensalidade,2021-05-19,163
50474,213.77,Eletrônicos - Acessórios,2021-05-19,28
50475,400.5,Posto de Gasolina - Abastecimento,2021-05-19,48
50476,237.82,E-commerce - Compra online,2021-05-19,26
50477,282.94,Academia - Mensalidade,2021-05-19,93
50478,98.09,Restaurante - Refeição,2021-05-19,187
50479,77.65,Posto de Gasolina - Abastecimento,2021-05-19,122
50480,178.72,Posto de Gasolina - Abastecimento,2021-05-19,115
50481,380.47,Farmácia - Medicamentos,2021-05-19,137
50482,72.96,Academia - Mensalidade,2021-05-19,31
50483,163.06,Loja de Roupas - Vestuário,2021-05-19,190
50484,260.57,Livraria - Compra de livros,2021-05-19,207
50485,52.42,Posto de Gasolina - Abastecimento,2021-05-19,160
50486,63.53,Academia - Mensalidade,2021-05-19,91
50487,23.62,E-commerce - Compra online,2021-05-19,230
50488,27.57,Academia - Mensalidade,2021-05-19,56
50489,17.81,Academia - Mensalidade,2021-05-19,193
50490,259.04,Livraria - Compra de livros,2021-05-19,121
50491,340.39,Restaurante - Refeição,2021-05-19,39
50492,456.87,Farmácia - Medicamentos,2021-05-19,165
50493,420.61,Academia - Mensalidade,2021-05-19,51
50494,496.36,E-commerce - Compra online,2021-05-19,38
50495,22.24,Livraria - Compra de livros,2021-05-19,118
50496,15.07,Farmácia - Medicamentos,2021-05-19,78
50497,342.66,Loja de Roupas - Vestuário,2021-05-19,175
50498,143.49,Cinema - Ingresso,2021-05-19,48
50499,94.73,Academia - Mensalidade,2021-05-19,73
50500,498.98,Posto de Gasolina - Abastecimento,2021-05-19,176
50501,166.87,Posto de Gasolina - Abastecimento,2021-05-20,221
50502,265.49,Livraria - Compra de livros,2021-05-20,7
50503,318.07,Loja de Roupas - Vestuário,2021-05-20,220
50504,426.63,Posto de Gasolina - Abastecimento,2021-05-20,222
50505,66.75,Eletrônicos - Acessórios,2021-05-20,246
50506,13.05,Academia - Mensalidade,2021-05-20,229
50507,418.36,Eletrônicos - Acessórios,2021-05-20,241
50508,331.81,Supermercado - Compra de alimentos,2021-05-20,30
50509,218.9,Farmácia - Medicamentos,2021-05-20,194
50510,169.4,Farmácia - Medicamentos,2021-05-20,235
50511,223.72,Farmácia - Medicamentos,2021-05-20,215
50512,10.55,Farmácia - Medicamentos,2021-05-20,15
50513,434.19,Posto de Gasolina - Abastecimento,2021-05-20,75
50514,57.79,Livraria - Compra de livros,2021-05-20,89
50515,14.71,Restaurante - Refeição,2021-05-20,46
50516,391.62,Academia - Mensalidade,2021-05-20,158
50517,197.28,E-commerce - Compra online,2021-05-20,184
50518,108.43,E-commerce - Compra online,2021-05-20,67
50519,272.84,Eletrônicos - Acessórios,2021-05-20,92
50520,453.39,Supermercado - Compra de alimentos,2021-05-20,89
50521,57.77,Farmácia - Medicamentos,2021-05-20,32
50522,250.82,Cinema - Ingresso,2021-05-20,2
50523,317.14,E-commerce - Compra online,2021-05-20,224
50524,170.93,E-commerce - Compra online,2021-05-20,234
50525,16.95,Posto de Gasolina - Abastecimento,2021-05-20,33
50526,456.89,Cinema - Ingresso,2021-05-20,46
50527,151.17,Eletrônicos - Acessórios,2021-05-20,9
50528,456.28,Restaurante - Refeição,2021-05-20,115
50529,31.16,Academia - Mensalidade,2021-05-20,231
50530,415.55,Cinema - Ingresso,2021-05-20,48
50531,75.35,Posto de Gasolina - Abastecimento,2021-05-20,247
50532,48.56,Loja de Roupas - Vestuário,2021-05-20,167
50533,313.47,Restaurante - Refeição,2021-05-20,85
50534,223.25,Eletrônicos - Acessórios,2021-05-20,231
50535,234.84,Posto de Gasolina - Abastecimento,2021-05-20,41
50536,83.95,Posto de Gasolina - Abastecimento,2021-05-20,157
50537,461.68,Supermercado - Compra de alimentos,2021-05-20,131
50538,27.72,Supermercado - Compra de alimentos,2021-05-20,18
50539,168.52,Livraria - Compra de livros,2021-05-20,150
50540,485.91,Loja de Roupas - Vestuário,2021-05-20,140
50541,23.25,Eletrônicos - Acessórios,2021-05-20,200
50542,289.11,Eletrônicos - Acessórios,2021-05-20,115
50543,207.93,Cinema - Ingresso,2021-05-20,31
50544,253.7,Eletrônicos - Acessórios,2021-05-20,231
50545,301.17,Eletrônicos - Acessórios,2021-05-20,143
50546,474.9,Loja de Roupas - Vestuário,2021-05-20,1
50547,228.08,Loja de Roupas - Vestuário,2021-05-20,179
50548,24.41,Farmácia - Medicamentos,2021-05-20,147
50549,178.61,Loja de Roupas - Vestuário,2021-05-20,122
50550,437.19,Restaurante - Refeição,2021-05-20,26
50551,71.08,Supermercado - Compra de alimentos,2021-05-20,107
50552,308.51,Livraria - Compra de livros,2021-05-20,36
50553,321.81,Loja de Roupas - Vestuário,2021-05-20,160
50554,450.63,Restaurante - Refeição,2021-05-20,126
50555,159.67,Supermercado - Compra de alimentos,2021-05-20,214
50556,361.19,Restaurante - Refeição,2021-05-20,94
50557,280.58,Supermercado - Compra de alimentos,2021-05-20,46
50558,255.86,Loja de Roupas - Vestuário,2021-05-20,128
50559,52.65,Farmácia - Medicamentos,2021-05-20,179
50560,176.71,Eletrônicos - Acessórios,2021-05-20,29
50561,46.49,Livraria - Compra de livros,2021-05-20,239
50562,431.98,Academia - Mensalidade,2021-05-20,168
50563,496.06,Farmácia - Medicamentos,2021-05-20,171
50564,74.35,Posto de Gasolina - Abastecimento,2021-05-20,153
50565,36.46,Eletrônicos - Acessórios,2021-05-20,80
50566,117.38,Restaurante - Refeição,2021-05-20,16
50567,287.85,Eletrônicos - Acessórios,2021-05-20,96
50568,471.01,Eletrônicos - Acessórios,2021-05-20,101
50569,124.63,Eletrônicos - Acessórios,2021-05-20,188
50570,180.33,Posto de Gasolina - Abastecimento,2021-05-20,24
50571,54.56,Loja de Roupas - Vestuário,2021-05-20,166
50572,12.26,Academia - Mensalidade,2021-05-20,13
50573,385.25,E-commerce - Compra online,2021-05-20,115
50574,271.4,Posto de Gasolina - Abastecimento,2021-05-20,187
50575,215.45,Livraria - Compra de livros,2021-05-20,69
50576,51.77,E-commerce - Compra online,2021-05-20,178
50577,42.22,Supermercado - Compra de alimentos,2021-05-20,150
50578,88.56,Restaurante - Refeição,2021-05-20,123
50579,396.94,Restaurante - Refeição,2021-05-20,9
50580,92.07,Cinema - Ingresso,2021-05-20,182
50581,310.88,Cinema - Ingresso,2021-05-20,191
50582,380.35,Academia - Mensalidade,2021-05-20,217
50583,77.01,Eletrônicos - Acessórios,2021-05-20,151
50584,217.04,Supermercado - Compra de alimentos,2021-05-20,235
50585,169.8,Academia - Mensalidade,2021-05-20,123
50586,199.35,E-commerce - Compra online,2021-05-20,197
